Package last-used report
Generated: 2026-08-29 07:04:52
Packages: 717

PACKAGE                                   TYPE    VERSION     LAST USED    ENV               PATH
scikit-image                              python  0.26.0      2025-12-25   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/scikit_image-0.26.0.dist-info
python-dotenv                             python  1.0.0       2025-12-26   pyenv:3.11.9      /Users/faiz/.pyenv/versions/3.11.9/lib/python3.11/site-packages/python_dotenv-1.0.0.dist-info
backports.tarfile                         python  1.2.0       2026-01-01   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/backports_tarfile-1.2.0.dist-info
jaraco.classes                            python  3.4.0       2026-01-01   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/jaraco_classes-3.4.0.dist-info
PyNaCl                                    python  1.6.2       2026-01-01   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/pynacl-1.6.2.dist-info
h11                                       python  0.16.0      2026-01-06   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/h11-0.16.0.dist-info
jupyter_server_terminals                  python  0.5.4       2026-01-16   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/jupyter_server_terminals-0.5.4.dist-info
aioitertools                              python  0.13.0      2026-01-18   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/aioitertools-0.13.0.dist-info
Deprecated                                python  1.3.1       2026-01-20   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/deprecated-1.3.1.dist-info
pyparsing                                 python  3.3.2       2026-01-21   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/pyparsing-3.3.2.dist-info
openpyxl                                  python  3.1.5       2026-01-22   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/openpyxl-3.1.5.dist-info
ipympl                                    python  0.10.0      2026-01-24   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/ipympl-0.10.0.dist-info
gssapi                                    python  1.11.1      2026-01-31   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/gssapi-1.11.1.dist-info
astroid                                   python  4.0.4       2026-02-09   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/astroid-4.0.4.dist-info
cattrs                                    python  26.1.0      2026-02-19   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/cattrs-26.1.0.dist-info
multidict                                 python  6.7.1       2026-02-20   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/multidict-6.7.1.dist-info
linkify-it-py                             python  2.1.0       2026-03-02   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/linkify_it_py-2.1.0.dist-info
jplephem                                  python  2.24        2026-03-02   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/jplephem-2.24.dist-info
uc-micro-py                               python  2.0.0       2026-03-02   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/uc_micro_py-2.0.0.dist-info
lazy-loader                               python  0.5         2026-03-06   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/lazy_loader-0.5.dist-info
intake                                    python  2.0.9       2026-03-09   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/intake-2.0.9.dist-info
protobuf                                  python  6.33.5      2026-03-11   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/protobuf-6.33.5.dist-info
mpmath                                    python  1.4.1       2026-03-16   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/mpmath-1.4.1.dist-info
lief                                      python  0.17.0      2026-03-16   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/lief-0.17.0.dist-info
imagesize                                 python  2.0.0       2026-03-17   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/imagesize-2.0.0.dist-info
async-lru                                 python  2.3.0       2026-03-19   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/async_lru-2.3.0.dist-info
